slider_0_to_10,cutoff_hz
6.831,1664.1
6.839,1687.5
6.846,1710.9
6.854,1710.9
6.861,1710.9
6.868,1710.9
6.876,1710.9
6.883,1710.9
6.891,1757.8
6.898,1757.8
6.906,1757.8
6.913,1757.8
6.921,1757.8
6.928,1757.8
6.936,1781.2
6.943,1781.2
6.951,1781.2
6.958,1804.7
6.966,1804.7
6.973,1804.7
6.981,1804.7
6.988,1804.7
6.996,1804.7
7.003,1804.7
7.010,1828.1
7.018,1828.1
7.025,1968.8
7.033,1968.8
7.040,1968.8
7.048,2015.6
7.055,2015.6
7.063,2015.6
7.070,2039.1
7.078,2039.1
7.085,2039.1
7.093,2156.2
7.100,2156.2
7.108,2156.2
7.115,2156.2
7.123,2156.2
7.130,2179.7
7.138,2179.7
7.145,2179.7
7.152,2203.1
7.160,2203.1
7.167,2273.4
7.175,2273.4
7.182,2273.4
7.190,2296.9
7.197,2320.3
7.205,2320.3
7.212,2320.3
7.220,2320.3
7.227,2320.3
7.235,2320.3
7.242,2320.3
7.250,2320.3
7.257,2320.3
7.265,2320.3
7.272,2343.8
7.280,2343.8
7.287,2343.8
7.294,2343.8
7.302,2343.8
7.309,2343.8
7.317,2343.8
7.324,2343.8
7.332,2343.8
7.339,2343.8
7.347,2343.8
7.354,2343.8
7.362,2343.8
7.369,2343.8
7.377,2343.8
7.384,2343.8
7.392,2343.8
7.399,2367.2
7.407,2367.2
7.414,2367.2
7.422,2460.9
7.429,2507.8
7.436,2507.8
7.444,2507.8
7.451,2625.0
7.459,2625.0
7.466,2625.0
7.474,2625.0
7.481,2625.0
7.489,2625.0
7.496,2625.0
7.504,2648.4
7.511,2929.7
7.519,2929.7
7.526,2929.7
7.534,2929.7
7.541,2953.1
7.549,2953.1
7.556,2953.1
7.564,3070.3
7.571,3070.3
7.578,3093.8
7.586,3117.2
7.593,3140.6
7.601,3164.1
7.608,3164.1
7.616,3164.1
7.623,3187.5
7.631,3187.5
7.638,3187.5
7.646,3187.5
7.653,3187.5
7.661,3187.5
7.668,3210.9
7.676,3234.4
7.683,3234.4
7.691,3234.4
7.698,3234.4
7.706,3234.4
7.713,3304.7
7.720,3328.1
7.728,3328.1
7.735,3398.4
7.743,3398.4
7.750,3398.4
7.758,3398.4
7.765,3398.4
7.773,3515.6
7.780,3539.1
7.788,3539.1
7.795,3539.1
7.803,3609.4
7.810,3609.4
7.818,3609.4
7.825,3609.4
7.833,3609.4
7.840,3609.4
7.848,3632.8
7.855,3632.8
7.862,3632.8
7.870,3632.8
7.877,3656.2
7.885,3656.2
7.892,3796.9
7.900,3796.9
7.907,3867.2
7.915,3867.2
7.922,3890.6
7.930,3890.6
7.937,3937.5
7.945,3960.9
7.952,3984.4
7.960,3984.4
7.967,3984.4
7.975,3984.4
7.982,4007.8
7.990,4007.8
7.997,4007.8
8.004,4007.8
8.012,4054.7
8.019,4078.1
8.027,4125.0
8.034,4125.0
8.042,4125.0
8.049,4125.0
8.057,4125.0
8.064,4359.4
8.072,4570.3
8.079,4570.3
8.087,4617.2
8.094,4617.2
8.102,4875.0
8.109,4875.0
8.117,4875.0
8.124,4875.0
8.132,4921.9
8.139,4921.9
8.146,4921.9
8.154,5039.1
8.161,5062.5
8.169,5085.9
8.176,5085.9
8.184,5085.9
8.191,5085.9
8.199,5085.9
8.206,5109.4
8.214,5109.4
8.221,5132.8
8.229,5179.7
8.236,5203.1
8.244,5203.1
8.251,5203.1
8.259,5250.0
8.266,5273.4
8.274,5320.3
8.281,5320.3
8.288,5320.3
8.296,5343.8
8.303,5414.1
8.311,5414.1
8.318,5414.1
8.326,5414.1
8.333,5414.1
8.341,5414.1
8.348,5414.1
8.356,5414.1
8.363,5414.1
8.371,5437.5
8.378,5437.5
8.386,5484.4
8.393,5625.0
8.401,5625.0
8.408,5648.4
8.416,5695.3
8.423,5695.3
8.430,5695.3
8.438,5695.3
8.445,5695.3
8.453,5742.2
8.460,5742.2
8.468,5765.6
8.475,5765.6
8.483,5765.6
8.490,5765.6
8.498,5789.1
8.505,5789.1
8.513,5789.1
8.520,5789.1
8.528,5812.5
8.535,5859.4
8.543,5882.8
8.550,5929.7
8.558,5929.7
8.565,6210.9
8.572,6210.9
8.580,6210.9
8.587,6210.9
8.595,6562.5
8.602,6562.5
8.610,6562.5
8.617,6656.2
8.625,6656.2
8.632,6750.0
8.640,6750.0
8.647,6750.0
8.655,6773.4
8.662,7359.4
8.670,7382.8
8.677,7500.0
8.685,7570.3
8.692,7570.3
8.700,7570.3
8.707,7570.3
8.714,7570.3
8.722,7593.8
8.729,7593.8
8.737,7593.8
8.744,7593.8
8.752,7640.6
8.759,7898.4
8.767,7921.9
8.774,7921.9
8.782,7921.9
8.789,7921.9
8.797,7921.9
8.804,7921.9
8.812,8250.0
8.819,8250.0
8.827,8250.0
8.834,8390.6
8.842,8390.6
8.849,8390.6
8.857,8390.6
8.864,8460.9
8.871,8484.4
8.879,8484.4
8.886,8554.7
8.894,8554.7
8.901,8718.8
8.909,9000.0
8.916,9000.0
8.924,9187.5
8.931,9187.5
8.939,9304.7
8.946,9304.7
8.954,9421.9
8.961,9585.9
8.969,9585.9
8.976,9585.9
8.984,9609.4
8.991,9609.4
8.999,9609.4
9.006,9843.8
9.013,9843.8
9.021,9843.8
9.028,9890.6
9.036,9890.6
9.043,9937.5
9.051,9960.9
9.058,9960.9
9.066,10031.2
9.073,10101.6
9.081,10125.0
9.088,10312.5
9.096,10312.5
9.103,10312.5
9.111,10312.5
9.118,10359.4
9.126,10359.4
9.133,10382.8
9.141,10664.1
9.148,10664.1
9.155,10664.1
9.163,10664.1
9.170,10664.1
9.178,10664.1
9.185,10757.8
9.193,10945.3
9.200,10945.3
9.208,10945.3
9.215,10945.3
9.223,11085.9
9.230,11109.4
9.238,11109.4
9.245,11460.9
9.253,11460.9
9.260,11460.9
9.268,11484.4
9.275,11484.4
9.283,11484.4
9.290,11531.2
9.297,11554.7
9.305,11554.7
9.312,11625.0
9.320,11625.0
9.327,11625.0
9.335,11625.0
9.342,12093.8
9.350,12117.2
9.357,12117.2
9.365,12117.2
9.372,12117.2
9.380,12140.6
9.387,12164.1
9.395,12656.2
9.402,12656.2
9.410,12656.2
9.417,12679.7
9.425,12679.7
9.432,12703.1
9.439,12703.1
9.447,12773.4
9.454,12773.4
9.462,12937.5
9.469,12937.5
9.477,12960.9
9.484,12960.9
9.492,13312.5
9.499,13617.2
9.507,13617.2
9.514,13617.2
9.522,13804.7
9.529,14414.1
9.537,14414.1
9.544,14437.5
9.552,14437.5
9.559,14437.5
9.567,14835.9
9.574,14835.9
9.581,14835.9
9.589,15539.1
9.596,15609.4
9.604,16523.4
9.611,16523.4
9.619,16523.4
9.626,16546.9
9.634,17179.7
9.641,17179.7
9.649,18773.4
9.656,18773.4
9.664,18773.4
9.671,18773.4
9.679,19125.0
9.686,19125.0
9.694,19148.4
9.701,19148.4
9.709,19382.8
9.716,19382.8
9.723,19828.1
9.731,19992.2
9.738,19992.2
9.746,20460.9
9.753,20460.9
9.761,20601.6
9.768,20601.6
9.776,20601.6
9.783,20601.6
9.791,20601.6
9.798,20601.6
9.806,20601.6
9.813,20601.6
9.821,20601.6
9.828,20882.8
9.836,20882.8
9.843,20882.8
9.851,20882.8
9.858,20882.8
9.865,20882.8
9.873,20976.6
9.880,20976.6
9.888,20976.6
9.895,20976.6
9.903,20882.8
9.910,20882.8
9.918,20882.8
9.925,20437.5
9.933,20976.6
9.940,20976.6
9.948,20976.6
9.955,20976.6
9.963,20976.6
9.970,20437.5
9.978,20414.1
9.985,20414.1
9.993,20414.1
10.000,20414.1
